County,Value,Rank, FIPS 
"Jewell County, Kansas","45,655","2,554",20089
"Oscoda County, Michigan","45,659","2,553",26135
"Elk County, Kansas","45,660","2,552",20049
"Rowan County, Kentucky","45,681","2,551",21205
"Dent County, Missouri","45,700","2,550",29065
"Cook County, Georgia","45,702","2,549",13075
"McDonough County, Illinois","45,704","2,548",17109
"Abbeville County, South Carolina","45,710","2,547",45001
"Hinsdale County, Colorado","45,714","2,546",08053
"Lawrence County, Tennessee","45,721","2,545",47099
"Garfield County, Utah","45,724","2,543",49017
"Huerfano County, Colorado","45,724","2,543",08055
"DeKalb County, Tennessee","45,728","2,542",47041
"Mississippi County, Arkansas","45,740","2,541",05093
"Duplin County, North Carolina","45,744","2,540",37061
"Greene County, North Carolina","45,766","2,539",37079
"Forrest County, Mississippi","45,780","2,538",28035
"Baraga County, Michigan","45,792","2,536",26013
"Iron County, Michigan","45,792","2,536",26071
"Scott County, Indiana","45,794","2,535",18143
"Conway County, Arkansas","45,812","2,534",05029
"Twiggs County, Georgia","45,824","2,533",13289
"Otero County, Colorado","45,826","2,532",08089
"Lincoln County, Kentucky","45,856","2,531",21137
"Gilmer County, West Virginia","45,870","2,530",54021
"Ferry County, Washington","45,907","2,529",53019
"Christian County, Kentucky","45,913","2,528",21047
"Halifax County with South Boston City, Virginia","45,962","2,527",51083
"Clark County, Missouri","45,965","2,526",29045
"Fayette County, West Virginia","45,988","2,525",54019
"Knox County, Illinois","45,994","2,524",17095
"Ouachita Parish, Louisiana","46,021","2,523",22073
"Stoddard County, Missouri","46,052","2,522",29207
"Morgan County, Missouri","46,078","2,521",29141
"Wilkes County, North Carolina","46,079","2,520",37193
"Richardson County, Nebraska","46,085","2,519",31147
"Dewey County, South Dakota","46,087","2,518",46041
"Winston County, Alabama","46,096","2,517",01133
"Hidalgo County, New Mexico","46,097","2,516",35023
"Lemhi County, Idaho","46,105","2,515",16059
"Campbell County, Tennessee","46,110","2,514",47013
"Muhlenberg County, Kentucky","46,124","2,513",21177
"Navajo County, Arizona","46,126","2,512",04017
"Noble County, Ohio","46,144","2,511",39121
"Carroll County, Mississippi","46,147","2,510",28015
"Putnam County, Missouri","46,161","2,509",29171
"Chautauqua County, Kansas","46,170","2,508",20019
"Shelby County, Missouri","46,178","2,507",29205
"Hinds County, Mississippi","46,179","2,506",28049
"Covington County, Alabama","46,186","2,505",01039
"Alcona County, Michigan","46,187","2,504",26001
"Warren County, Tennessee","46,189","2,503",47177
"Alamosa County, Colorado","46,217","2,502",08003
"Roscommon County, Michigan","46,218","2,501",26143
"Richmond County, Georgia","46,237","2,500",13245
"Tift County, Georgia","46,245","2,499",13277
"Lewis County, Missouri","46,250","2,498",29111
"Chowan County, North Carolina","46,288","2,497",37041
"Johnson County, Georgia","46,292","2,496",13167
"Hickman County, Kentucky","46,321","2,495",21105
"White County, Arkansas","46,345","2,494",05145
"Bath County, Kentucky","46,375","2,493",21011
"Mecklenburg County, Virginia","46,378","2,492",51117
"Avery County, North Carolina","46,383","2,491",37011
"Prentiss County, Mississippi","46,417","2,490",28117
"Chester County, South Carolina","46,441","2,488",45023
"Monroe County, Missouri","46,441","2,488",29137
"Union County, Arkansas","46,444","2,487",05139
"Saluda County, South Carolina","46,451","2,486",45081
"Crittenden County, Arkansas","46,452","2,485",05035
"Morris County, Texas","46,468","2,484",48343
"Pendleton County, West Virginia","46,506","2,483",54071
"Liberty County, Montana","46,507","2,482",30051
"Copiah County, Mississippi","46,530","2,481",28029
"Houston County, Tennessee","46,535","2,480",47083
"Stephens County, Texas","46,537","2,479",48429
"McCulloch County, Texas","46,552","2,478",48307
"Logan County, Arkansas","46,570","2,477",05083
"Scott County, Kansas","46,583","2,476",20171
"Delaware County, Oklahoma","46,588","2,475",40041
"Hardy County, West Virginia","46,592","2,474",54031
"Laurel County, Kentucky","46,604","2,473",21125
"Golden Valley County, Montana","46,607","2,472",30037
"Miller County, Arkansas","46,610","2,471",05091
"Adair County, Missouri","46,639","2,470",29001
"Crawford County, Missouri","46,643","2,469",29055
"Wheeler County, Oregon","46,648","2,468",41069
"Adair County, Kentucky","46,652","2,467",21001
"Vinton County, Ohio","46,653","2,466",39163
"Loup County, Nebraska","46,667","2,465",31115
"Pike County, Arkansas","46,672","2,464",05109
"San Jacinto County, Texas","46,678","2,463",48407
"Lincoln County, West Virginia","46,683","2,462",54043
"Washington County, Maine","46,689","2,461",23029
"St. Martin Parish, Louisiana","46,711","2,460",22099
"Concho County, Texas","46,719","2,459",48095
"Hot Spring County, Arkansas","46,724","2,458",05059
"Decatur County, Kansas","46,733","2,457",20039
"Johnston County, Oklahoma","46,754","2,455",40069
"Laurens County, South Carolina","46,754","2,455",45059
"Sioux County, Nebraska","46,769","2,454",31165
"Greenwood County, Kansas","46,783","2,453",20073
"Nowata County, Oklahoma","46,786","2,452",40105
"Meriwether County, Georgia","46,789","2,451",13199
"Sanders County, Montana","46,848","2,450",30089
"Lincoln County, Colorado","46,894","2,449",08073
"Highlands County, Florida","46,895","2,448",12055
"Appanoose County, Iowa","46,900","2,447",19007
"Baker County, Oregon","46,922","2,446",41001
"Lawrence County, Missouri","46,923","2,445",29109
"San Saba County, Texas","46,927","2,444",48411
"Piscataquis County, Maine","46,948","2,443",23021
"Otero County, New Mexico","46,949","2,442",35035
"Sullivan County, Missouri","46,964","2,441",29211
"Laclede County, Missouri","46,968","2,440",29105
"Etowah County, Alabama","46,984","2,439",01055
"Rockingham County, North Carolina","46,993","2,438",37157
"Rio Arriba County, New Mexico","46,994","2,437",35039
"Terrell County, Texas","47,012","2,436",48443
"Okeechobee County, Florida","47,020","2,435",12093
"Hitchcock County, Nebraska","47,025","2,434",31087
"Webster County, Kentucky","47,051","2,433",21233
"Athens County, Ohio","47,061","2,432",39009
"Randolph County, Alabama","47,081","2,431",01111
"Dona Ana County, New Mexico","47,151","2,430",35013
"Clay County, North Carolina","47,155","2,429",37043
"Audrain County, Missouri","47,178","2,428",29007
"Roosevelt County, Montana","47,182","2,427",30085
"Patrick County, Virginia","47,215","2,426",51141
"Coleman County, Texas","47,216","2,425",48083
"Suwannee County, Florida","47,218","2,424",12121
"Grant County, West Virginia","47,224","2,423",54023
"Chambers County, Alabama","47,232","2,422",01017
"Waynesboro City, Virginia","47,238","2,421",51820
"Lincoln County, New Mexico","47,247","2,420",35027
"Marion County, Georgia","47,250","2,419",13197
"Lunenburg County, Virginia","47,269","2,418",51111
"Aroostook County, Maine","47,278","2,417",23003
"Miller County, Missouri","47,288","2,416",29131
"Cherokee County, Kansas","47,298","2,415",20021
"Cibola County, New Mexico","47,300","2,414",35006
"Nacogdoches County, Texas","47,306","2,413",48347
"Pope County, Arkansas","47,322","2,412",05115
"Prairie County, Arkansas","47,335","2,411",05117
"Randolph County, West Virginia","47,343","2,410",54083
"Wilson County, North Carolina","47,348","2,409",37195
"Monroe County, Mississippi","47,353","2,408",28095
"Greene County, Tennessee","47,361","2,407",47059
"Perry County, Mississippi","47,368","2,406",28111
"Pike County, Missouri","47,382","2,405",29163
"George County, Mississippi","47,385","2,404",28039
"Monroe County, West Virginia","47,417","2,403",54063
"Cherokee County, Oklahoma","47,421","2,402",40021
"Walker County, Alabama","47,442","2,401",01127
"San Juan County, New Mexico","47,485","2,400",35045
"Somerset County, Maine","47,488","2,399",23025
"Allen County, Kentucky","47,495","2,398",21003
"Hansford County, Texas","47,500","2,395",48195
"Perry County, Arkansas","47,500","2,395",05105
"Throckmorton County, Texas","47,500","2,395",48447
"Idaho County, Idaho","47,508","2,394",16049
"Saline County, Illinois","47,541","2,393",17165
"Caddo County, Oklahoma","47,566","2,392",40015
"Unicoi County, Tennessee","47,610","2,391",47171
"Wetzel County, West Virginia","47,611","2,390",54103
"Chaves County, New Mexico","47,620","2,389",35005
"Jim Wells County, Texas","47,629","2,388",48249
"Allen Parish, Louisiana","47,660","2,387",22003
"Custer County, Idaho","47,663","2,386",16037
"Nodaway County, Missouri","47,669","2,385",29147
"Dade County, Georgia","47,675","2,384",13083
"Montgomery County, Kansas","47,697","2,383",20125
"Grady County, Georgia","47,721","2,382",13131
"Terry County, Texas","47,734","2,381",48445
"Fayette County, Illinois","47,744","2,380",17051
"Gentry County, Missouri","47,746","2,379",29075
"Clinch County, Georgia","47,750","2,377",13065
"Columbia County, Florida","47,750","2,377",12023
"Franklin County, Illinois","47,751","2,376",17055
"Jasper County, South Carolina","47,811","2,375",45053
"Sequatchie County, Tennessee","47,835","2,374",47153
"Burke County, Georgia","47,837","2,373",13033
"Madison County, Arkansas","47,862","2,372",05087
"Henderson County, Tennessee","47,885","2,371",47077
"Roosevelt County, New Mexico","47,897","2,370",35041
"Sheridan County, Nebraska","47,901","2,369",31161
"Malheur County, Oregon","47,906","2,368",41045
"Jefferson County, Iowa","47,950","2,367",19101
"Jackson County, North Carolina","47,989","2,366",37099
"Pope County, Illinois","48,013","2,365",17151
"Mahnomen County, Minnesota","48,021","2,364",27087
"Smith County, Kansas","48,051","2,363",20183
"Clark County, Idaho","48,088","2,362",16033
"Fayette County, Indiana","48,101","2,361",18041
"Mason County, Kentucky","48,106","2,360",21161
"Phelps County, Missouri","48,124","2,359",29161
"Burke County, North Carolina","48,142","2,358",37023
"Macon County, North Carolina","48,169","2,357",37113
"Cleveland County, Arkansas","48,183","2,356",05025
"Graves County, Kentucky","48,187","2,355",21083
"Essex County, Vermont","48,194","2,354",50009
"Chouteau County, Montana","48,237","2,353",30015
"Gladwin County, Michigan","48,279","2,352",26051
"Caldwell County, Kentucky","48,280","2,351",21033
"Fleming County, Kentucky","48,315","2,350",21069
"Mitchell County, North Carolina","48,320","2,349",37121
"Cleburne County, Alabama","48,333","2,347",01029
"Hamilton County, Kansas","48,333","2,347",20075
"Butler County, Kentucky","48,355","2,346",21031
"Cleburne County, Arkansas","48,400","2,345",05023
"Saguache County, Colorado","48,413","2,344",08109
"Haskell County, Texas","48,432","2,343",48207
"Guernsey County, Ohio","48,434","2,342",39059
"Mecosta County, Michigan","48,440","2,341",26107
"Crawford County, Ohio","48,449","2,340",39033
"Lincoln County, Kansas","48,457","2,339",20105
"Greeley County, Nebraska","48,472","2,338",31077
"Elmore County, Idaho","48,475","2,337",16039
"Roanoke City, Virginia","48,476","2,336",51770
"Ohio County, Kentucky","48,481","2,335",21183
"Monroe County, Tennessee","48,488","2,334",47123
"Hickman County, Tennessee","48,527","2,333",47081
"Coles County, Illinois","48,534","2,332",17029
"Caldwell County, North Carolina","48,549","2,331",37027
"Vigo County, Indiana","48,552","2,330",18167
"Matagorda County, Texas","48,566","2,329",48321
"Hyde County, North Carolina","48,577","2,328",37095
"Macon County, Missouri","48,583","2,327",29121
"Swain County, North Carolina","48,608","2,326",37173
"Houghton County, Michigan","48,623","2,325",26061
"Boone County, Arkansas","48,625","2,324",05009
"Walker County, Georgia","48,633","2,323",13295
"Hale County, Texas","48,649","2,322",48189
"Rabun County, Georgia","48,652","2,321",13241
"Somerset County, Maryland","48,661","2,320",24039
"Citrus County, Florida","48,664","2,319",12017
"Leon County, Texas","48,676","2,318",48289
"Brewster County, Texas","48,679","2,317",48043
"Niobrara County, Wyoming","48,688","2,316",56027
"Okmulgee County, Oklahoma","48,689","2,315",40111
"Lowndes County, Georgia","48,703","2,314",13185
"Scotland County, Missouri","48,705","2,313",29199
"Montgomery County, Georgia","48,717","2,312",13209
"St. Louis City, Missouri","48,751","2,311",29510
"Bleckley County, Georgia","48,786","2,309",13023
"Watauga County, North Carolina","48,786","2,309",37189
"Marion County, Kentucky","48,791","2,308",21155
"Bradford County, Florida","48,803","2,307",12007
"Alger County, Michigan","48,822","2,305",26003
"Bee County, Texas","48,822","2,305",48025
"Isabella County, Michigan","48,840","2,304",26073
"Rhea County, Tennessee","48,872","2,303",47143
"Jay County, Indiana","48,904","2,302",18075
"Iron County, Wisconsin","48,908","2,301",55051
"Butte County, South Dakota","48,941","2,300",46019
"Lawrence County, Ohio","48,947","2,299",39087
"Polk County, Georgia","48,958","2,298",13233
"Arenac County, Michigan","48,989","2,297",26011
"Wibaux County, Montana","49,000","2,296",30109
"Prince Edward County, Virginia","49,019","2,295",51147
"Sumter County, South Carolina","49,040","2,294",45085
"Troup County, Georgia","49,042","2,293",13285
"Vermilion County, Illinois","49,063","2,292",17183
"Granite County, Montana","49,077","2,291",30039
"Imperial County, California","49,078","2,290",06025
"Hawkins County, Tennessee","49,101","2,289",47073
"Tyler County, Texas","49,130","2,288",48457
"Greer County, Oklahoma","49,203","2,287",40055
"Jefferson County, Ohio","49,211","2,286",39081
"Bryan County, Oklahoma","49,225","2,285",40013
"Putnam County, Tennessee","49,228","2,284",47141
"Brown County, Texas","49,232","2,283",48049
"Hockley County, Texas","49,241","2,282",48219
"Mitchell County, Kansas","49,250","2,281",20123
"Coshocton County, Ohio","49,297","2,280",39031
"Montgomery County, Kentucky","49,313","2,279",21173
"Delaware County, Indiana","49,321","2,278",18035
"Evans County, Georgia","49,325","2,277",13109
"Norton County, Kansas","49,326","2,276",20137
"Comanche County, Kansas","49,333","2,275",20033
"Sullivan County, Indiana","49,393","2,274",18153
"Franklin City, Virginia","49,424","2,273",51620
"Rolette County, North Dakota","49,434","2,272",38079
"Wirt County, West Virginia","49,441","2,271",54105
"Polk County, Tennessee","49,446","2,270",47139
"Chase County, Kansas","49,453","2,269",20017
"Blaine County, Nebraska","49,464","2,268",31009
"Sevier County, Arkansas","49,470","2,267",05133
"Lincoln County, Arkansas","49,474","2,266",05079
"Taos County, New Mexico","49,481","2,265",35055
"Pittsylvania County, Virginia","49,486","2,264",51143
"Wayne County, North Carolina","49,488","2,263",37191
"Vernon County, Missouri","49,494","2,262",29217
"Hopkins County, Kentucky","49,495","2,261",21107
"Limestone County, Texas","49,507","2,260",48293
"Karnes County, Texas","49,526","2,259",48255
"Barry County, Missouri","49,574","2,258",29009
"Greene County, Mississippi","49,581","2,257",28041
"Brunswick County, Virginia","49,597","2,256",51025
"Deaf Smith County, Texas","49,611","2,255",48117
"Gibson County, Tennessee","49,615","2,254",47053
"Grundy County, Missouri","49,621","2,253",29079
"Cass County, Texas","49,626","2,252",48067
"Franklin County, Georgia","49,636","2,251",13119
"Rapides Parish, Louisiana","49,639","2,250",22079
"Big Horn County, Montana","49,640","2,249",30003
"Lowndes County, Mississippi","49,660","2,248",28087
"Sullivan County, Tennessee","49,661","2,247",47163
"Luce County, Michigan","49,667","2,246",26095
"Pittsburg County, Oklahoma","49,669","2,245",40121
"Edwards County, Kansas","49,679","2,244",20047
"Ashtabula County, Ohio","49,680","2,242",39007
"Wabash County, Illinois","49,680","2,242",17185
"Henry County, Missouri","49,682","2,241",29083
"Lake and Peninsula Borough, Alaska","49,688","2,240",02164
"Alleghany County and Clifton Forge City, Virginia","49,705","2,238",51005
"Saline County, Missouri","49,705","2,238",29195
"Anderson County, Texas","49,736","2,237",48001
"Mohave County, Arizona","49,738","2,236",04015
"Humphreys County, Tennessee","49,745","2,235",47085
"Schuyler County, Missouri","49,746","2,234",29197
"Lynn County, Texas","49,747","2,233",48305
"Daggett County, Utah","49,792","2,232",49009
"Tucker County, West Virginia","49,808","2,231",54093
"Fannin County, Georgia","49,810","2,230",13111
"Buckingham County, Virginia","49,841","2,229",51029
"Siskiyou County, California","49,857","2,228",06093
"Breckinridge County, Kentucky","49,919","2,227",21027
"Bourbon County, Kansas","49,951","2,225",20011
"McIntosh County, Georgia","49,951","2,225",13191
"Wayne County, Indiana","49,952","2,224",18177
"Mason County, West Virginia","49,957","2,223",54053
"Tattnall County, Georgia","49,977","2,222",13267
"Garland County, Arkansas","49,985","2,221",05051
"Kleberg County, Texas","49,986","2,220",48273
"Lauderdale County, Alabama","50,000","2,219",01077
"Grant County, Indiana","50,009","2,218",18053
"Coosa County, Alabama","50,013","2,217",01037
"St. Francois County, Missouri","50,015","2,216",29187
"Chattahoochee County, Georgia","50,018","2,215",13053
"Independence County, Arkansas","50,028","2,214",05063
"Lamb County, Texas","50,041","2,213",48279
"Dale County, Alabama","50,052","2,212",01045
"Barton County, Kansas","50,077","2,211",20009
"Wadena County, Minnesota","50,100","2,210",27159
"Mitchell County, Texas","50,144","2,209",48335
"Knox County, Texas","50,163","2,208",48275
"Stephens County, Georgia","50,194","2,207",13257
"Houston County, Alabama","50,222","2,206",01069
"Sebastian County, Arkansas","50,226","2,205",05131
"Wood County, West Virginia","50,231","2,204",54107
"Morris County, Kansas","50,242","2,203",20127
"Dyer County, Tennessee","50,245","2,202",47045
"Benewah County, Idaho","50,257","2,201",16009
"Trumbull County, Ohio","50,258","2,200",39155
"Republic County, Kansas","50,268","2,199",20157
"Rio Grande County, Colorado","50,287","2,198",08105
"Silver Bow County, Montana","50,331","2,197",30093
"Northampton County, Virginia","50,347","2,196",51131
"Cimarron County, Oklahoma","50,350","2,195",40025
"Kalkaska County, Michigan","50,363","2,194",26079
"Beckham County, Oklahoma","50,365","2,193",40009
"Kay County, Oklahoma","50,391","2,192",40071
"Chautauqua County, New York","50,408","2,191",36013
"Baldwin County, Georgia","50,413","2,190",13009
"Pitt County, North Carolina","50,422","2,189",37147
"Pointe Coupee Parish, Louisiana","50,431","2,188",22077
"Maries County, Missouri","50,434","2,187",29125
"Garvin County, Oklahoma","50,441","2,186",40049
"Navarro County, Texas","50,466","2,185",48349
"Monroe County, Ohio","50,503","2,184",39111
"Gordon County, Georgia","50,520","2,183",13129
"Madison County, Missouri","50,529","2,182",29123
"Union County, Kentucky","50,533","2,181",21225
"Muscogee County, Georgia","50,542","2,180",13215
"Union County, Mississippi","50,543","2,179",28145
"Scott County, Missouri","50,556","2,178",29201
"Kanawha County, West Virginia","50,574","2,177",54039
"Bulloch County, Georgia","50,583","2,176",13031
"Schley County, Georgia","50,586","2,175",13249
"Boone County, West Virginia","50,598","2,174",54005
"Accomack County, Virginia","50,601","2,172",51001
"Tyler County, West Virginia","50,601","2,172",54095
"McDowell County, North Carolina","50,615","2,171",37111
"Liberty County, Georgia","50,617","2,170",13179
"Montgomery County, North Carolina","50,618","2,169",37123
"Garfield County, Washington","50,625","2,168",53023
"Gray County, Texas","50,635","2,167",48179
"Tallapoosa County, Alabama","50,652","2,166",01123
"Tangipahoa Parish, Louisiana","50,659","2,165",22105
"Greene County, Missouri","50,682","2,164",29077
"Lake County, Oregon","50,685","2,163",41037
"Warren County, Mississippi","50,686","2,162",28149
"Missaukee County, Michigan","50,695","2,161",26113
"Rush County, Kansas","50,714","2,160",20165
"McDuffie County, Georgia","50,721","2,159",13189
"Osceola County, Michigan","50,722","2,158",26133
"Albany County, Wyoming","50,733","2,157",56001
"Refugio County, Texas","50,745","2,156",48391
"Cumberland County, North Carolina","50,746","2,155",37051
"Mahoning County, Ohio","50,750","2,153",39099
"Mineral County, Montana","50,750","2,153",30061
"Gallia County, Ohio","50,773","2,152",39053
"Texas County, Oklahoma","50,781","2,151",40139
"Clearwater County, Idaho","50,787","2,150",16035
"Phillips County, Montana","50,789","2,149",30071
"Klamath County, Oregon","50,790","2,148",41035
"Stone County, Mississippi","50,807","2,147",28131
"Marion County, Florida","50,808","2,146",12083
"Pierce County, Georgia","50,820","2,145",13229
"Edgar County, Illinois","50,843","2,144",17045
"Blaine County, Montana","50,847","2,143",30005
"Morrill County, Nebraska","50,859","2,142",31123
"Union County, Tennessee","50,868","2,141",47173
"Surry County, North Carolina","50,881","2,140",37171
"Hampshire County, West Virginia","50,890","2,138",54027
"Polk County, Missouri","50,890","2,138",29167
"Aitkin County, Minnesota","50,900","2,136",27001
"Davison County, South Dakota","50,900","2,136",46035
"El Paso County, Texas","50,919","2,135",48141
"Deuel County, Nebraska","50,924","2,134",31049
"Potter County, Pennsylvania","50,944","2,133",42105
"Camp County, Texas","50,947","2,132",48063
"Newberry County, South Carolina","50,950","2,131",45071
"Phillips County, Colorado","50,951","2,130",08095
"Fayette County, Iowa","50,973","2,129",19065
"Calhoun County, Alabama","50,977","2,128",01015
"Gilchrist County, Florida","50,983","2,126",12041
"Jackson County, Ohio","50,983","2,126",39079
"Pawnee County, Kansas","50,988","2,125",20145
"Logan County, Colorado","50,998","2,124",08075
"Northumberland County, Pennsylvania","51,005","2,123",42097
"Fall River County, South Dakota","51,007","2,122",46047
"Haakon County, South Dakota","51,016","2,121",46055
"Cambria County, Pennsylvania","51,018","2,120",42021
"Taney County, Missouri","51,031","2,119",29213
"Beaverhead County, Montana","51,048","2,118",30001
"Harrisonburg City, Virginia","51,055","2,117",51660
"Yell County, Arkansas","51,070","2,116",05149
"Livingston County, Kentucky","51,081","2,115",21139
"Allegany County, Maryland","51,090","2,113",24001
"Modoc County, California","51,090","2,113",06049
"Grant County, Oregon","51,100","2,112",41023
"Delta County, Michigan","51,117","2,111",26041
"Marion County, Ohio","51,144","2,110",39101
"Musselshell County, Montana","51,153","2,109",30065
"Mobile County, Alabama","51,169","2,108",01097
"Curry County, New Mexico","51,199","2,107",35009
"Brooke County, West Virginia","51,210","2,106",54009
"Wapello County, Iowa","51,222","2,105",19179
"Bollinger County, Missouri","51,250","2,104",29017
"McMinn County, Tennessee","51,253","2,103",47107
"Boundary County, Idaho","51,261","2,102",16021
"Fayette County, Pennsylvania","51,321","2,101",42051
"Hooker County, Nebraska","51,333","2,100",31091
"Marshall County, Oklahoma","51,345","2,099",40095
"Yadkin County, North Carolina","51,348","2,098",37197
"White County, Illinois","51,351","2,097",17193
"Pawnee County, Nebraska","51,354","2,096",31133
"Greene County, Arkansas","51,367","2,095",05055
"Oxford County, Maine","51,384","2,094",23017
"Hayes County, Nebraska","51,389","2,093",31085
"Madison County, North Carolina","51,396","2,092",37115
"Randolph County, Missouri","51,403","2,091",29175
"Gila County, Arizona","51,406","2,090",04007
"Labette County, Kansas","51,425","2,089",20099
"Grand County, Utah","51,433","2,088",49019
"Morton County, Kansas","51,447","2,087",20129
"Stewart County, Tennessee","51,460","2,086",47161
"Harper County, Oklahoma","51,481","2,085",40059
"Aransas County, Texas","51,509","2,084",48007
"Ohio County, West Virginia","51,516","2,083",54069
"Madison County, Tennessee","51,526","2,082",47113
"Pike County, Illinois","51,529","2,081",17149
"Wayne County, Illinois","51,540","2,080",17191
"Lamar County, Texas","51,561","2,079",48277
"Jefferson County, Nebraska","51,587","2,078",31095
"Harrison County, Mississippi","51,590","2,077",28047
"Randolph County, North Carolina","51,598","2,076",37151
"Gates County, North Carolina","51,599","2,075",37073
"Uvalde County, Texas","51,602","2,074",48463
"Floyd County, Virginia","51,612","2,073",51063
"Columbiana County, Ohio","51,664","2,072",39029
"Judith Basin County, Montana","51,691","2,071",30045
"Thomas County, Nebraska","51,696","2,070",31171
"Gilliam County, Oregon","51,705","2,069",41021
"Meagher County, Montana","51,709","2,068",30059
"Lawrence County, Alabama","51,712","2,067",01079
"Carbon County, Utah","51,725","2,066",49007
"Cowley County, Kansas","51,732","2,065",20035
"Josephine County, Oregon","51,733","2,064",41033
"Hardin County, Illinois","51,738","2,063",17069
"Walworth County, South Dakota","51,746","2,062",46129
"Cass County, Indiana","51,776","2,061",18017
"Knox County, Indiana","51,784","2,060",18083
"Perry County, Tennessee","51,786","2,059",47135
"Craighead County, Arkansas","51,788","2,058",05031
"Smith County, Mississippi","51,792","2,057",28129
"Delta County, Colorado","51,803","2,056",08029
"Seward County, Kansas","51,809","2,055",20175
"Allen County, Kansas","51,840","2,054",20001
"Madison County, Georgia","51,854","2,053",13195
"Wheeler County, Nebraska","51,875","2,052",31183
"Jasper County, Missouri","51,876","2,051",29097
"Adams County, Wisconsin","51,878","2,050",55001
"Bledsoe County, Tennessee","51,884","2,049",47007
"Beaufort County, North Carolina","51,894","2,048",37013
"Florence County, South Carolina","51,902","2,047",45041
"Towner County, North Dakota","51,912","2,046",38095
"Huron County, Michigan","51,924","2,045",26063
"Dawes County, Nebraska","51,925","2,044",31045
"Pettis County, Missouri","51,936","2,043",29159
"Clayton County, Georgia","51,945","2,042",13063
"Val Verde County, Texas","51,949","2,041",48465
"Forest County, Wisconsin","51,959","2,040",55041
"Henderson County, Texas","51,963","2,039",48213
"Spalding County, Georgia","51,972","2,038",13255
"Rusk County, Wisconsin","51,978","2,037",55107
"Miller County, Georgia","51,983","2,036",13201
"Okanogan County, Washington","51,992","2,035",53047
"Harrison County, Ohio","51,993","2,034",39067
"Colbert County, Alabama","52,017","2,033",01033
"Smith County, Tennessee","52,018","2,032",47159
"Lawrence County, Illinois","52,020","2,031",17101
"Price County, Wisconsin","52,052","2,030",55099
"Coos County, New Hampshire","52,054","2,029",33007
"Crawford County, Arkansas","52,057","2,028",05033
"Hancock County, West Virginia","52,062","2,027",54029
"Haywood County, North Carolina","52,063","2,026",37087
"Young County, Texas","52,074","2,025",48503
"Bates County, Missouri","52,093","2,024",29013
"Pulaski County, Indiana","52,098","2,023",18131
"Runnels County, Texas","52,103","2,022",48399
"Mercer County, Missouri","52,105","2,021",29129
"Page County, Iowa","52,108","2,019",19145
"Russell County, Kansas","52,108","2,019",20167
"Hardin County, Ohio","52,112","2,018",39065
"Power County, Idaho","52,116","2,017",16077
"Pamlico County, North Carolina","52,124","2,016",37137
"Crockett County, Tennessee","52,136","2,015",47033
"Wheeler County, Texas","52,138","2,014",48483
"Florence County, Wisconsin","52,143","2,013",55037
"Pontotoc County, Mississippi","52,150","2,012",28115
"Presque Isle County, Michigan","52,181","2,011",26141
"Harper County, Kansas","52,188","2,010",20077
"Franklin County, Tennessee","52,189","2,009",47051
"La Salle Parish, Louisiana","52,205","2,008",22059
"Muskingum County, Ohio","52,224","2,007",39119
"Atchison County, Kansas","52,243","2,006",20005
"Ellis County, Oklahoma","52,250","2,005",40045
"Tripp County, South Dakota","52,274","2,004",46123
"Iberia Parish, Louisiana","52,278","2,003",22045
"Henry County, Kentucky","52,301","2,002",21103
"Clay County, Iowa","52,307","2,001",19041
"Brown County, Kansas","52,314","2,000",20013
"Thomas County, Georgia","52,315","1,999",13275
"Jones County, South Dakota","52,321","1,997",46075
"Union County, Iowa","52,321","1,997",19175
"Jasper County, Georgia","52,322","1,996",13159
"Goliad County, Texas","52,335","1,995",48175
"Linn County, Kansas","52,339","1,994",20107
"McKean County, Pennsylvania","52,350","1,993",42083
"Wyandotte County, Kansas","52,366","1,992",20209
"Marshall County, West Virginia","52,371","1,991",54051
"Highland County, Ohio","52,376","1,990",39071
"Angelina County, Texas","52,377","1,989",48005
"Floyd County, Georgia","52,388","1,988",13115
"Franklin County, Nebraska","52,400","1,986",31061
"San Juan County, Utah","52,400","1,986",49037
"Kidder County, North Dakota","52,419","1,985",38043
"Whitfield County, Georgia","52,439","1,984",13313
"Owen County, Kentucky","52,450","1,983",21187
"Menominee County, Michigan","52,457","1,982",26109
"Sanilac County, Michigan","52,459","1,981",26151
"Douglas County, Oregon","52,479","1,980",41019
"Calhoun County, South Carolina","52,491","1,979",45017
"Holt County, Missouri","52,500","1,978",29087
"Washington County, Tennessee","52,503","1,977",47179
"Union County, Georgia","52,509","1,976",13291
"Bay County, Michigan","52,510","1,975",26017
"Montgomery County, Alabama","52,511","1,974",01101
"Wilson County, Kansas","52,514","1,973",20205
"Blaine County, Oklahoma","52,538","1,971",40011
"St. Bernard Parish, Louisiana","52,538","1,971",22087
"Indiana County, Pennsylvania","52,546","1,970",42063
"Coos County, Oregon","52,548","1,969",41011
"Yuma County, Arizona","52,563","1,968",04027
"Nye County, Nevada","52,570","1,967",32023
"Lyon County, Kansas","52,591","1,966",20111
"Gallatin County, Illinois","52,597","1,965",17059
"Richland County, Ohio","52,605","1,964",39139
"Coffee County, Tennessee","52,626","1,963",47031
"Cumberland County, Tennessee","52,630","1,962",47035
"Stokes County, North Carolina","52,637","1,961",37169
"Philadelphia County, Pennsylvania","52,649","1,960",42101
"Brazos County, Texas","52,658","1,959",48041
